Outward remittance flows (US$ million),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,%GDP_2021
Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,33.5,15.5,3.42033863825527,3.81722984349167,25.957718796530465,26.957168672357803,14.49271600146842,12.586214157214389,29.436635345077697,35.45228532738008,49.57745277195734,102.60542173924648,161.81095199894736,101.24992856739439,90.39999999999999,104.54,107.09,161.95000000000002,169.06,114.85000000000001,126.53,163.04,195.08,204.57,189.12,157.23000000000002,0.19573742328233348
Cambodia,0.0,0.0,14.1,14.9,38.4,52.0,77.2,38.8,41.9,54.20217,59.6179,52.34645,69.65603999999999,56.19808,56.24679,128.4905,120.2405,118.3965,170.6275,159.28713188463635,163.0,192.43681910118642,265.124288352564,297.25564481540096,359.610112126491,314.34083523897505,356.8574920121965,324.477385964618,309.8026267557384,279.02493988337596,226.4590746516703,266.1333707300066,1.0114140186600031
Cameroon,110.88470245023795,95.35392136826314,135.06274051037752,106.51124895547181,62.2293007792314,22.338045001076576,37.081634017249534,35.56534055624791,33.51002717891427,28.128756540232118,30.05471733677426,41.76214682469285,55.8387796577531,56.8640220006648,42.24614694144047,56.198255161085825,91.75277343950708,89.6823569736026,56.57622792800255,130.4696110016787,54.23264182459131,80.71747677135232,72.90086753733476,65.13064284014094,82.22662742090873,75.60743495524477,81.19999999999999,83.59286367821878,88.88795741668862,86.39625625509686,101.57811243727491,40.311259134872564,0.08880892497383305
Canada,1314.1531660806975,1312.7992740390505,1225.0212641846597,1137.2404871833166,1180.8364236482994,1306.023051787756,1451.2317275757953,1547.2673417723236,1494.6404641440072,1614.2429821528149,1696.6222594351043,1774.974003288466,1970.679764058526,2242.154647119838,2610.530518919897,3261.615579717144,3286.690324299493,4567.0222410890565,4859.141896898049,4662.098288991501,5290.453957417123,5557.756827741734,5629.382995173408,5702.499908425154,5948.213016806358,5114.157603633637,5255.722464641915,6482.765219330161,7578.422449323885,8763.218444024726,6784.862776675918,7214.284393275939,0.36283024565646543
Chile,7.2,0.0,0.0,0.0,0.0,0.0,14.0,20.5,15.808,14.4,15.6,15.7,15.9,3.5,3.60000163216023,3.199999162899985,3.199999841220233,3.200000504991294,3.1999997251396053,103.9398620000006,148.78898899998413,177.0894709999824,237.6274829999823,310.1046159999894,304.4349329999779,386.47676899998214,345.5940935428733,492.037287263703,623.8662997138281,722.743058630458,774.0980580109559,761.871993441819,0.2405126727410484
China,5.0,18.0,15.0,15.0,19.0,0.0,0.0,198.0,272.0,593.0,754.29,936.0,1172.9432403348,1597.0689544748002,1997.9942757942,1817.4,2329.99281257431,2493.058145241023,2736.3907913778444,2051.656434,1455.455375,1618.147148,1788.058506,1714.202599,4155.30205229,5718.19107259,6210.890955569999,16253.28687731,16548.07839586,15135.300288470002,18295.88948274,22903.47345637,0.12907262957360646
Comoros,4.433221927826641,6.366434721191699,11.03556945969173,5.360923276773029,6.047087247375574,3.5046751448048203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2115316625498951,0.3160528095089361,0.3995511149562529,0.4083515876085489,0.4557416765950347,0.6670846868845027,0.5942964713070092,0.7866116985476141,0.8953310972842126,0.8263995907601892,0.0,0.9816941795209269,1.061490514070976,0.920601507883415,1.9291458744799908,4.708655667844216,4.660667553377136,1.0641868422708023,2.9915081711656897,0.2329835024272344
"Congo, Dem. Rep.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3,31.5,26.4,37.4,30.9,57.2,812.6,669.7459919070495,920.031731820626,450.6777406125924,851.1774110399999,450.3606184760243,532.4631048501457,913.8204608480033,1004.4816945491732,746.0313005904136,730.5804190403471,1.2918508638628317
Costa Rica,0.0,0.0,0.0,0.0,7.1,35.5,46.02,67.18,92.95,122.4535485718916,142.39999999999998,140.49179145090199,147.8011106689109,192.016734,191.5482344,209.02905,246.34342936172558,271.4142813773672,268.61817199,238.59820000000002,259.38291200000003,290.54335830802535,346.0354327576023,402.6046370399864,419.22282917186755,407.7840452301908,416.12921348039833,468.50481136368705,506.6934515811335,530.4212262875502,496.4688065633858,548.5818086486172,0.8516103026353559
Cyprus,12.006638579621924,18.302063719173134,23.801654363275176,24.52728845129941,33.72674429235805,47.52219636539923,53.6122600516286,50.59376321599908,52.14110864549473,52.491238797840126,48.199808127274885,79.2898447603301,107.04159518548265,183.9198041531987,213.44284273232904,240.67453645814555,239.60465682760895,304.67715069250784,814.0,694.8263328817162,951.993213506516,895.41859689602,759.7517763800563,742.2617950643744,790.2065174194651,634.5304366537022,689.8544941679605,776.5219931458673,869.951114575012,840.8057880004512,863.6321120321037,960.4521494606366,3.462586161441476
