Migrant remittance inflows (US$ million),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,% of GDP in 2022
Jordan,499.267095,447.9061041,843.6595862,1040.149997,1093.903294,1243.994528,1544.146685,1655.148096,1542.736248,1664.03385,1845.133992,2011.334086,2134.979288,2201.12835,2287.447109,2420.874471,2793.93512,3326.376299,3510.160301,3465.211268,3622.9,3683.943662,3848.309859,5342.816901,6369.71831,5348.309859,4374.647887,4431.971831,4471.971831,4652.535211,4881.126761,5162.253521,4646.028169,9.665934692
Kazakhstan,0,0,0,0,0,0,1.2,1.2,6.4,3.6,67.5,85.0394,111.2482077,42.19779,57.3773306,62.02192133,83.58986994,142.991414,125.5705474,198.2011876,225.5562343,179.7082907,282.9848489,341.4058707,401.3809961,294.2696759,384.1653778,560.4209639,618.039381,506.0760008,374.3912811,310.1585464,370,0.164929704
Kenya,0.218199909,0.203578128,0,0,71.36412071,87.49785306,87.54288142,506.6151368,531.912793,584.8542969,0,50.91442628,57.14347998,65.84529538,375.8113342,424.9910459,570.459274,645.2078714,667.317334,631.4608832,685.7572724,934.1,1211.021439,1304.277231,1440.84625,1569.26785,1744.639175,1962.273106,2720.366061,2838.192215,3107.932253,3770.089639,4091,3.56178934
Kiribati,5.143410258,6.058005579,6.023581713,6.101757154,6.899648511,0,0,0,0,0,0,0,0,0,0,0,13,13.94069155,14.3725214,14.04757598,15.64998056,17.03062596,17.6425067,17.25406488,16.3810311,14.0480451,16.29495964,17.95954139,19.97814663,20.07519114,14.91612428,15,15,7.246376812
"Korea, Rep.",2244.5,2489.1,2685.9,2633,2757.5,3294.6,3372.5,3906.8,4970.3,4346.1,4523.5,4516.2,5134.8,5875.2,5935.2,5200.4,4849.5,5154.9,6978.1,5999.5,5853.7,6602.2,6589.1,6475.4,6573.5,6463.9,6523.6,6526.4,7125.1,7166.1,7434.8,7704.2,7877,0.454213367
Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621.9087135,701.5901779,771.4674846,919.8923997,1046.52303,1056.112084,1006.678235,993.3766698,945.6134957,1058.4,1098.945957,971.4163878,985.7984593,1112.078354,1235.727938,1248.990731,1436.087664,1689.313357,1600,17.31227007
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.808113945,5.63545626,2.613869436,4.224467043,3.839517358,34.26589453,3.992522746,22.95178693,27.71638899,25.70037472,22.51747108,23,27.17888641,0.014805896
Kyrgyz Republic,0,0,0,1.785,1.002,1.243,2.44,2.74,2.2142,1.1435,2.243715,4.5339288,30.2931986,70.327782,179.05744,313.2502583,473.0719157,704.0046678,1223.272673,981.9640025,1266.2,1708.694028,2031.374213,2277.998114,2242.827292,1687.701982,1994.607958,2485.77806,2688.570122,2410.507185,2422.824642,2792.498249,3050,31.28205128
Lao PDR,0,0,2.2,2.6,0.5,0.4,0.5,0.5,0.6,0.6,0.66,0.694575,0.72930375,0.765768938,0.804057384,0.83,4.237233,6.203732835,17.77460343,37.57633507,41.77422463,110.2978131,203,170.4367681,188.0482397,189.2123136,189.361894,242.7085781,239.879527,296.5165667,232.166104,224.4425212,200,1.230769231
Latvia,0,0,0,0,0,0,40.771,45.709,49.4,48.6,252.1,273.6926988,112.5597958,157.5030543,218.5661906,379.0536878,480.1300501,550.4873147,1920.429181,1586.661134,1257.366065,1505.693369,1498.595198,1604.442121,1553.480634,1335.768739,1234.94549,1274.146124,1237.34932,1142.611838,1088.349705,1317.404608,1500,3.695673598
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,2544.451535,4742.999661,5591.436083,4924.310615,5202.23775,5769.24,7180.59,7558.138454,6914.055025,6877.547082,6671.241575,7566.58934,7190.794585,7480.817047,7605.729645,7061.853364,6977.962174,7410.02134,6633.29386,6393.53,6841.0771,37.84409526
Lesotho,998.5881331,1022.332372,1121.339278,1037.070182,1132.74644,1086.08039,930.8767423,873.8434774,631.2037834,524.8870563,477.597131,401.2577722,388.6790663,556.8650028,627.1551124,599.3,613.8645883,638.151333,575.8568858,547.9250964,610.1247699,649.3357497,554.558512,462.9188228,392.9943391,370.8284777,453.5295948,549.8100843,581.8038164,543.7069036,468.0432529,499.1748716,526.6294895,21.00636177
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.44687611,31.85495565,78.81494228,61.97717809,58.12223158,25.11690433,294.2,523.0025074,546.8223594,412.7477093,512.0002676,654.4244795,580.1277514,403.4758727,459.9247321,346.2440916,338,338.0658383,351.182,9.004666667
Lithuania,0,0,0,0.034529883,0.743072104,1.095,2.575,2.9275,3.425,2.995,49.9425,79.15,109.2480456,114.8339983,577.5,745.2713345,994.4080395,1433.095298,1565.309357,1239.844221,1673.160029,1955.415494,1507.182354,2059.903381,2113.240954,1372.817412,1279.932372,1302.553154,1386.978491,1303.940311,790.5795094,778.0773998,700,1.028942688
Luxembourg,0,0,0,0,0,0,0,0,0,651.5041598,578.5263809,576.6375359,770.6,977.2107791,1112.306265,1188.806929,1293.535584,1479.294565,1661.639088,1676.276507,1669.576588,1810.620151,1717.898508,1921.579735,1888.091668,1675.230438,1739.875976,1907.535913,2098.194469,2041.361756,2190.538623,2273.397812,2000,2.43445237
"Macao SAR, China",0,0,0,0,0,0,0,0,0,0,0,0,46.6,47.74074137,53.33468902,53.15023934,55.46511219,54.38582193,51.59891344,48.38180927,46.85350875,48.29266947,46.90706412,48.65908305,36.86480029,39.52760917,27.58863977,25.42568627,22.80120546,21.81598846,19.11810584,19,16.96586418,0.072441777
Madagascar,4.477472091,9.028201552,12.11395054,11.73069563,10.882408,9.102989436,6.241918029,12.18451995,11.46212723,11.62199474,11.27007255,10.87129609,29.32359614,16.2315477,11.5066542,101.7,150.260189,254.4886969,313.9919411,283.7212766,455.8255442,335.015247,330.4956199,357.7543309,344.438244,326.8445414,299.2046261,342.7769779,425.5022257,407.6762042,495.3565274,614.6394796,717.8989122,4.752409057
Malawi,0,0,0,0,0.766905838,0.523432035,0.647354187,0.744944638,0.746886715,0.746883915,0.74688621,0.74688597,0.843693591,13.9,18.3210164,22.53187949,14.78997769,21.01352196,16.67429696,16.65671007,21.76766362,25.32023069,28.30329899,34.13232231,38.48716924,41.49397704,39.05313313,78.88038423,181.0673275,280.9131546,231.6508645,258.8556104,266.6212787,2.307610167
Malaysia,185.2211285,130.1786623,153.0982773,175.5956948,119.27187,115.796006,164.1531951,194.4410708,189.5843287,322.8947368,342.3684211,367.1052632,435,571.0526316,801.8684211,1116.97256,1365.476253,1556.236305,1329.07085,1130.872358,1102.9,1211.496096,1293.805738,1423.370252,1579.517557,1643.720838,1603.918551,1648.944928,1685.578502,1597.353742,1426.684075,1565.2484,1620,0.373221152
Maldives,1.7,1.8,1.6,1.3,2.17358182,2.36577902,2.70775611,2.45207646,2.45,2.19685487,2.19685487,1.82311875,2.01219212,2.01219212,2.90009228,2.25725,2.8,7.934160761,6.265651333,4.510691347,3.15919848,3,3.147415886,3.304786681,3.470026015,3.643527316,3.825703681,4.016988865,4.217838309,4.428730224,4.650166735,4.882675072,5,0.084745763
Mali,106.9179758,93.01438278,116.5506446,125.6168808,103.1871676,112.1109415,110.7198337,91.72487462,84.46283603,86.3400504,73.34612069,88.24440682,138.3035473,154.1445021,155.7426072,177.2,212.0301814,344.3760722,432.7353858,455.5666513,473.2067808,785.1354461,827.417012,894.7633662,921.4906037,816.9302327,827.2425329,885.4446631,1022.573592,971.7009361,997.1370838,1053,1094.426691,5.937000603
Malta,58.21139746,42.01798959,30.49008644,25.45454228,23.5472441,15.19028923,13.12156731,9.111576984,13.09715038,20.1352486,17.49706134,12.93012942,21.20164469,25.79480404,319.2,222.0825888,208.7959741,229.2866984,264.4624056,259.9029169,229.5663407,227.12491,200.1084415,245.8784501,252.779864,274.4002666,251.4287165,269.5451907,277.3334493,264.7262481,280.1821835,284.3468549,271.3170471,1.581470314
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7,25.99330122,25.14195952,23.06484528,23.58655116,22.21493355,22.14527141,23.2367982,24.55543491,26.0815493,27.34002891,28.34002891,30.450053,31.450053,0,0,31,30,11.0701107
Mauritania,13.70814673,11.73946204,50.13401052,2.268102396,4.89581226,5.448170458,4.365199859,2.693388357,2.207179523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.2,60.39185666,64.45891364,168.6651756,168.7,168.0252,1.665099594
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0.615851281,0.633981313,0.573714312,0.729710022,0.609194496,0.728800695,0.70359497,0.633706428,0.660462957,0.814358909,0.518994669,0.8619426,0.6,327.0380038,223.5777814,194.0666291,250.2431349,244.6212625,318.5116662,284.7282984,272.4745958,278.8,2.42498043
Mexico,3098,3030,3700,3979,4121.82,4368.12,4949,5545.8,6501.246,6648.625182,7524.74298,10146.263,11029.4481,16653.68641,19861.74796,22741.84092,26542.8,26879.86316,26041.48918,22075.735,22080.25915,23445.66052,23208.64919,23188.81196,24802.08133,26233.1718,28690.95741,32270.50768,35768.41663,39021.78968,42878.27491,54130.11145,60300,4.232966172
Moldova,0,0,0,0,0,1.02,87.08,114.32,122.17,110.41,177.58,242.21,322.59,484.02,701.37,915.08,1175.82,1491.26,1888.02,1352.3,1752.83,1813.11,1986.44,2191.54,2075.92,1540.12,1467.22,1637.87,1837.93,1909.91,1876.62,2084.63,2170,15.44703872
Mongolia,0,0,0,0,0,0,0,0,5.5,7.873673737,1.101304348,26.68478261,68.69585926,79.3554471,202.5080114,176.9485041,155.1919203,178.0297,224.5952472,199.6186943,266.2425605,249.6426208,323.8364151,257.1347217,255.121827,260.9107698,259.8763592,273.3649981,440.5541403,560.9304204,548.8333354,535,500,3.180661578
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.4250724,298.1042361,303.1650477,416,509.6077322,507.5009214,545.3084401,543.3541886,469.7346523,480.8441291,522.9973135,588.9079416,584.3155219,600.7032238,793.5924655,920,15.01550514
Morocco,2006.347306,1990.22575,2170.446393,1958.981583,1827.069512,1969.500647,2165.473713,1892.809709,2010.637642,1938.105631,2160.962378,3260.920244,2877.152601,3613.916567,4220.836008,4589.22682,5451.371055,6730.472441,6894.287729,6269.117561,6422.54153,7256.310892,6507.905288,6881.69996,7788.7,6903.543638,6383.473884,6823.002118,6919.419948,6962.578453,7414.138466,10704.83004,11401,7.979758389
Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.89188544,80.03249216,99.38583574,115.7439721,111.1252632,115.7772345,129.6697695,174.1074242,152.4109987,155.4649659,142.8791365,93.37268955,257.9367725,296.0701989,299.5675892,348.8138133,453.9720658,544.766479,3.047985671
Myanmar,5.910627679,1.536846391,0.276967138,28.2457124,41.56373889,80.57503292,122.4501053,147.205581,135.8229628,135.053918,102.1526048,116.1581756,105.3856463,84.41213169,116.5731158,129.4889279,115.1681641,81.00905789,54.74402017,54.47203222,114.8548493,127.0759811,274.6160617,1643.9,1807.677675,1933.727555,2254.714796,2452.869388,2673.495005,2553.189788,2671.163002,2000,1900,3.191668067
Namibia,11.51770573,13.07348129,15.35756747,14.53603316,14.89805814,15.60481764,13.51367329,13.30306206,11.21505301,9.901885805,9.161114181,8.454651754,7.555142476,11.79115198,14.59446181,17.49863463,16.44277705,15.68209094,13.56341597,76.5,69.20729923,78.75519052,80.11467313,64.10303495,80.72193511,46.67369335,66.4792647,48.29244747,53.67069133,65.59351723,64.02688305,46.48332087,44.15915483,0.353612707
Nepal,0,0,0,54.82510376,50.11851811,56.82266694,44.16012607,49.45805788,67.50490292,83.46278029,111.498192,146.9851519,678.485892,771.0721265,822.6089552,1211.823253,1453.231426,1733.858518,2727.140487,2983.336877,3464.092682,4216.89401,4792.5062,5583.702128,5888.650155,6729.935671,6611.838544,6928.133767,8286.629516,8244.465869,8107.744662,8203.258737,8500,21.77923542
Netherlands,465.4836835,439.5058607,496.8736769,479.7455575,510.8186433,664.9284981,697.1155916,661.403843,631.1152408,485.5861173,425.8029338,482.7599323,484.1178433,1120.669354,1298.3,1258.740178,1552.637654,1630.181336,1649.099406,1713.130796,1720.053466,1788.734673,1640.149697,1618.625741,1482.63575,2298.091259,2159.875374,2226.489767,2450.095813,2234.076588,2112.68313,2370.476003,2000,0.201901305
New Zealand,0,0,0,0,0,0,0,0,0,0,215.3,0,232.5218121,290.4159297,322.2731813,352.0359378,334.6843355,383.6528922,421.3630245,331.0414145,370.5029453,455.3163556,461.7825642,459.2391084,535.1056001,531.7362553,528.0724466,538.5927097,508.9523748,462.9527365,147.7084032,16.97493174,25,0.010300783
Nicaragua,0,0,10,25,50,75,95,150,200,300,320,335.7,376.5,438.8,518.8,615.7,697.5,739.6,819.9,770.3,824.8,913.6,1016.3,1081.3,1140.2,1197.5,1268.1,1394.7,1504.8,1686.4,1855.4,2150.9,3126,19.91717107
Niger,13.89088919,13.01988674,18.17207781,15.87074114,6.903760055,7.705122966,4.498072659,5.335212275,18.78289121,26.63803399,14.46055287,21.9921501,19.05542448,25.53899937,59.81931526,66.39629161,78.17763535,79.45532989,94.10537242,102.1256042,134.4235475,166.2,151.83437,145.9122391,219.080292,171.586253,176.3709073,264.0412776,296.67756,308.6618888,520.9437298,541.7,533.5930002,3.645009907
Nigeria,10.00854002,65.54471433,56.44840441,793.1540255,549.8727041,250.0430072,296.5873373,585.7384098,448.5468248,1301.055577,1391.826072,1166.614598,1208.958588,1062.820789,2272.734507,14640.08431,16932.14408,18014.43079,19199.97404,18370.79691,19744.75506,20616.7725,20542.88446,20797.07396,20999.1,20626.04692,19697.938,22037.01683,24311.02242,23809.2814,17207.54731,19483.40206,20945,4.154080797
North Macedonia,0,0,0,0,0,0,67.78,77.69,63.2,76.537013,80.92099,73.439228,105.902711,173.661464,213.016054,226.568479,266.556404,345.010224,406.625951,381.153563,387.931157,434.124447,394.153574,376.0682169,366.518601,306.656775,290.838022,314.499343,344.454462,317.088137,412.935987,489.4297132,450,3.191263031
Norway,48.87911558,55.8873608,189.8784845,166.3347216,170.302323,238.7391876,308.864865,288.9159895,300.6091405,287.7575419,270.4496735,278.9711957,332.6347943,391.7005841,464.9724588,505.278425,528.8330996,616.6765148,684.9709504,631.4712713,679.9715403,764.9941899,766.5,791.457692,759.9475904,608.9424523,593.573549,615.7765101,644.3471303,615.7421732,592.5169963,671.7846435,600,0.118881798
Oman,39.01170351,39.01170351,39.01170351,39.01170351,39.01170351,39.01170351,38.99999949,38.99999949,38.99999975,38.99999975,39,39.01170351,39.01170351,39.01170351,39.01170351,39.01170351,39.01170351,39.01170351,39.01170351,39.01170351,39.01170351,39.01170351,39.01170351,39.01170351,39.01170351,39.01170351,39.01170351,39.01170351,39.01170351,39.01170351,39.01170351,39,39.39203644,0.036149764
Pakistan,2006.26694,1548.698415,1573.619007,1446.277135,1749.277045,1712.219436,1284.050241,1707.282925,1172,996,1075,1461,3554,3964,3945,4280,5121,5998,7039,8717,9690,12263,14007,14629,17244,19306,19819,19856,21193,22252,26089,31312,29000,7.702666451
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5421848,1.52949647,1.604639526,1.590526341,1.68546137,1.967273556,2.360256649,2.359934249,2.218252449,2.273734061,2.360132693,2.176267575,0,0,0,2,2,0.884955752
Panama,109.7,108.1,102.4,108.7,112,112,86.2,64.3,58.2,48.3,16.4,73.1,84.6,106.8,108.9,129.6,300.5,355.3,378,337,410,368.2,410.9,461.4,756.4,554.2,502.5185,533.3559,537.8772,580.854157,455.7122371,567.6847443,596.0689815,0.838529903
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,5.66103992,6.993823142,9.526191358,6.846522757,4.41211138,7.622440284,7.350469363,4.734583324,3.501731446,12.29974609,14.25441222,14.28089013,10.47411513,3.944547935,2.694279502,4.262316573,3.670805657,0,0,2,2,0.006377144
Paraguay,33.8,42.4,63.9,94.6,147.9,134.9,136.9,141.2,142.6,148,151.7,140,98.7,109.5,132,161.3,336,340.786,362.63,377.3,409.885,540.67,634.1,623.28,506.64,553.6404,656.8584,704.0736,682.8699658,665.9902825,583.7149889,585.3840462,554.3586918,1.324474237
Peru,87,148,240,289,473,599,597,636,647,670,717.66384,753.2114395,705.3824931,868.5,1132.71359,1440.067536,1837.494274,2130.814663,2443.644585,2408.698137,2533.910907,2696.961723,2787.954663,2707.24639,2636.539865,2725.062654,2883.886545,3051.238954,3224.8,3325.921219,2938.616916,3591.690873,3699.441599,1.54572984
Philippines,1465,1850,2537,2587,3452,5360,4875,6799,5130,6693,6924,8760,9735,10239,11468,13732.6,15496.08846,16437.43409,18850.67242,19959.50764,21556.63384,23053.62602,24609.67961,26716.84027,28690.7979,29799.3957,31141.97348,32809.77043,33808.96799,35167.47183,34882.84455,36685.31317,38000,9.46069083
Poland,0,0,0,0,581,724,774,848,1070,825,1496,1563,1685,2284,5186,6471,8486,10468,10475,8174,7712,7768,7041,7457,7468,6834,6764,7302,7603,7063,6727,7131,8000,1.116842686
Portugal,4478.965989,4717.690881,4762.223951,4315.121529,3805.934311,3952.52016,3708.17245,3487.517949,3531.591603,3643.575297,3496.069445,3647.399493,2927.464736,3039.80679,3302.861377,3221.546879,3478.523537,4155.097548,4298.091659,3781.073824,3733.788192,3923.615628,3992.981865,4452.382915,4504.042779,4048.079972,4125.79318,4504.987783,4801.241417,4717.2193,4848.611061,5127.640513,4694,1.834640068
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573.6263736,803.2967033,574.3956044,498.6263736,437.0879121,378.5714286,665.9340659,467.032967,576.6483516,651.6483516,858.7912088,624.4639893,0.282091887
Romania,0,0,0,0,11,9,18,16,49,96,96,116,143,124,131,951.8,1160.464158,1624.282412,1702.335818,682.4634912,641.3866145,694.1163834,733.2186175,4805.772256,5083.522749,5391.416914,5929.792425,6555.658959,6983.986125,8142.029279,7625.731191,9159.745933,11064.32031,3.689521087
Russian Federation,0,0,0,0,108,165.9,101.5,226.75,301.17,425.21,499.95,986.41,935.98,1113.7,2206.75,3436.56,3820.38,4666.33,5736.97,5105.06,5250.02,6103.27,5787.73,6750.81,7776.54,6903.39,6688.67,8235,9287.27,10432.48,9914.97,9646.92,6000,0.28128182
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.5,174.2024855,182.4024781,170.1994225,183.5936359,159.199957,172.516841,215.2923948,260.5116156,260.7102947,280.0691305,391.213,469.4556,3.880439742
Samoa,42.86422433,34.80964435,40.0355457,32.27434779,37.48268517,40.52309823,44.27390102,46.58956007,42.00242665,44.67082975,0,0,0,0,0.897780373,81.6,87.08573427,96.64960741,109.0082263,119.48934,138.5047718,159.5836307,177.695228,164.5834177,140.501951,131.1557623,130.7678593,135.72694,147.5675037,155.2148064,204.1605213,248.4429332,280,33.73493976
Sao Tome and Principe,0.31,0,0,0,0,0,0,0.8,0.5,0.56,0.4638,0.553670314,0.797330561,1.821460088,1.1,1.5,1.6,2,3,2,6.363257454,6.881334487,6.35888979,26.56672292,26.82784881,19.98019689,18.04484056,18.19206723,17.77613048,11.11442937,8.620359248,10.59149164,10.46439374,2.068062004
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.9,105.6,123.4666667,216.1866667,214.4,236.48,243.7333333,245.92,268.7733333,273.304,295.4344,307.5218667,290.7746667,334.9146667,334.0293333,302.2530721,294.9143197,272.7030945,0.026984597
Senegal,142.0675817,162.5624845,175.6760121,170.0083397,113.8318903,146.0287085,150.4791991,150.4653219,147.4188294,186.0990409,234.0666472,304.9449801,346.1228514,512.0802173,634.0316448,789.2,926.0648348,1193.376016,1482.085064,1355.834397,1479.11982,1616.025933,1576.225069,1777.897284,1931.624793,1757.754462,1980.58147,2148.911385,2427.531906,138.2613911,2587.7475,2657.5,2710.65,9.841877859
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3764.2,3545.49138,4649.881251,4117.446496,3960.970272,3546.45514,4024.794307,3696.031997,3370.435504,3205.371734,3589.629282,4445.606867,4237.925901,3868.521648,4597.739283,5400,8.609556608
Seychelles,7.504440969,7.320124887,10.76120824,0.289489598,0.296685528,0.503992566,0.704227714,0.218847041,0.114020932,0.187175368,3.159009302,1.790853672,1.979914964,4.855111378,6.80831016,12.10109091,13.26955989,4.8,3.161817722,16.12348329,17.37695052,25.26192915,17.66907006,12.87432825,15.07595504,18.42423093,22.08702335,21.66124793,22.71369464,23.64821931,9.979686567,9.524809145,9.334312963,0.465551769
Sierra Leone,0,0,0,0,0,23.67362972,25.24663787,5.984620205,20.33060505,22.47689413,7.134994324,6.215277851,21.8154551,25.88925839,24.71483448,2.435105011,15.62233918,41.97385638,22.57860414,35.89600404,44.21858427,58.81161645,64.53408121,69.6606995,62.43010457,48.1636946,58.23046576,63.5568905,73.20782462,68.08102281,177.0319715,179.638,178.9512224,4.363599669
Slovak Republic,0,0,0,78.52511477,48.49244227,25.74291222,20.78735443,29.12889533,23.21436326,19.24201048,17.79579015,22.49826278,24.38875928,425.3240108,702.8,1210.904295,1343.434297,1661.512193,2050.364972,1672.288995,1590.890346,1753.891236,1927.193404,2071.687509,2395.643258,2138.338117,2119.834516,2164.333034,2210.599186,2544.685949,2463.633269,2235.476816,2300,2.045935704
Slovenia,0,0,38.3,52.2,272.9,270,275.4,238,224.5,222.9,202.3,198.2,212.7,230.7,260.9,261.1,279.3953756,320.2074305,380.2,173.4578641,164.4665183,210.350063,249.0867002,314.0825415,373.3284901,399.5064546,451.9757767,501.9994756,644.8424274,662.8629791,655.9097694,747.2970583,800,1.286359763
Solomon Islands,0,0,0,0,0,0,0,0,0,2.356276601,4.323108472,4.528052886,3.224827519,3.881133403,8.69648993,7.162382821,10.7,12.63292702,9.141559768,12.51445731,14.27862492,16.92891105,20.72305399,20.64017511,16.33508698,18.58789083,20.28271983,16.32876133,19.89901772,25.47412876,27.50884421,51.0316636,40,2.498438476
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1482,1577,1735,1735,1735,20.6154943
South Africa,108.135032,104.0396079,91.19470539,83.28518025,78.79107607,82.68721302,74.88575532,175.9982092,258.6055467,306.8623605,324.6637471,281.6124383,268.2,390.8004018,468.1177722,613.5774324,691.930201,792.3511906,783.6935278,862.0516311,1069.571381,1158.421806,1084.534306,970.6553372,913.4031037,825.2534799,755.4340489,873.8611606,929.0433811,890.0592937,810.881604,926.6508437,1019.315928,0.247719434
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1138.72,1083,633.83,1267.16,80.44,86.51,1236,1186.56,24.80267559
Spain,2114.188051,2020.494225,2414.673454,2048.313374,2280.499615,2763.61649,2925.15176,2899.429894,3253.445179,4647,4862,5099,5584,6568,7540,6661.697776,7352.557774,8963.068983,9741.731933,8584.416221,8707.390657,9675.932436,9724.446324,10666.29206,10760.9015,10303.94266,10262.71898,10635.28038,10985.74592,9975.057295,8509.105652,9000,8500,0.611542908
Sri Lanka,400.7758091,442.0939942,547.8050383,632.3819601,715.1924153,800.969018,843.1730164,933.7312562,1013.33709,1064.301778,1154.285559,1169.81,1296.07,1423.47,1573.78,1975.536,2166.77,2507.3,2924.5,3336.7,4123.13,5153.01,5999.6,6422.186627,7036.326551,6999.731475,7261.851525,7190.296015,7043.039552,6748.702044,7140.414362,5522,3600,4.882084107
St. Kitts and Nevis,17.37777778,0,0,13.61111111,15.61481481,18.52592593,18.97407407,19.72962963,21.49259259,23.16666667,24.27407407,24.75925926,25.38655556,26.8104037,28.44733704,30.26623333,32.83455667,36.12964852,40.09924222,38.80315074,47.03306222,44.67484296,51.04948111,51.57013593,21.8,24.30501417,22.55366525,24.78835383,25.93946674,42.33381688,31.57781987,37.17578674,32.95281219,2.955409165
St. Lucia,14.59259259,16.00740741,0.266666667,13.91481481,19.92592593,21.20740741,25.17037037,23,23.56666667,23.95185185,23.82962963,24.13333333,24.56171111,25.11432593,26.3162963,27.06324815,27.83671481,28.60581852,28.90401481,27.99007,28.99365444,29.4444337,29.78945889,30.14693259,35.3,40.50066735,38.39053856,41.86301178,42.91994598,43.2172526,59.58873704,62.59660487,55.19932938,2.799154634
St. Vincent and the Grenadines,14.08518519,0.922222222,0.87037037,15.77777778,15.12592593,15.5,16.61111111,17.18518519,18.05185185,18.56296296,19.29259259,19.45333333,20.42933333,20.69991852,21.44848519,22.4174963,25.55708148,28.86557407,26.77655926,29.05717444,29.05570074,29.23637852,31.10908111,31.58770741,43.6,41.78992487,44.89712234,45.68950823,46.33928542,79.33818953,60.68930441,85.86167823,69.55938721,7.337488102
Sudan,61.9,45.4,123.7,75.2,107.2,346.2,221.52,419.6,686.6,665.1,640.8,739.6,977.69,1223.6,1402.95,703.7883857,800.828762,999.7107501,1590.626089,1394.395643,1455.5,824.2209093,595.8432438,619.5088034,506.5568219,151.3920105,153.4114663,212.9360099,425.2143506,522.3172878,495.3550925,1125.59,1013.031,2.368998176
Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,2.1,2.8,2.2,4.6,4.3,3.893784528,8.05749075,6.993693279,8.833808604,6.705559504,1.493543566,97.9,98.67875653,96.17738431,124.0286491,147.6161115,221.3470612,7.351280676
Sweden,114.4725127,168.713785,194.8370099,193.912219,211.8231408,255.2208369,269.9213038,315.8035671,125.5626252,363.9923617,437.8040329,578.1847686,512.1163099,1357.41237,1595.817025,1811.506054,2245.090114,3205.455117,4095.491169,3967.954238,4060.977951,4384.7,4293.492858,4595.689775,4561.329199,3396.671928,2820.821968,3109.01933,3074.011486,3184.90385,3091.100401,3336.408801,2564.787598,0.424688552
Switzerland,923.6528114,987.2442308,1044.645746,1052.438048,1212.114565,1473.188519,1390.360919,1208.285604,1226.985564,1221.5,994.9331495,1176.038086,1225.420693,1533.293466,1695.345813,1721.477365,1795.179912,1795.61723,2214.728946,2341.619109,2494.622577,2615.246749,2420.420106,2437.063152,2406.168041,2516.975789,2524.093963,2591.809298,2550.734395,2549.309963,2940.841129,3019.222346,2630.758057,0.325823558
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,78.5628,146.0244,252.0021,564.3765448,975.8682291,1513.697962,2277.502898,1565.736892,2020.5,2722.464917,3222.350605,3697.730868,3384.055195,2258.64322,1867.398638,2237.179088,2183.340531,2321.884645,2186.807504,2921.713107,3200,32.05449264
Tanzania,0,0,0,0,0,0.840348209,19.31801854,1.586283791,11.50042292,7.200008943,8.000014826,15.253,12,8.9,13.79841836,19.3663,15.380675,25.4613844,36.81974778,39.82709351,344.3,409.5633662,390.1388881,381.9307842,389.484432,387.768413,402.5314583,402.6347218,412.910078,433.4998134,326.1607278,569.4,609.258,0.795562926
Thailand,973.2445308,1019.360124,444.5649628,1111.689415,1280.921336,1695.279817,1805.949705,1658.406238,1424.46682,1460.133614,1696.785433,1252.447488,1379.995429,1607.350389,1621.875957,1187,1333.36,1634.85,1898.41,3808,4433.16,5255.62,5656.788795,6584.860455,6524.114892,5894.665233,6270.025972,6720.117054,7466.081912,8162.162551,8256.962268,9065.391618,9500,1.776504512
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64232226,10.44487788,17.65548151,113.3478538,137.1359476,136.8960018,119.8598078,33.64974671,43.67989514,61.6,80.1746,87.04451413,96.32093213,100.3846356,155.4604685,168.6148797,185,7.535641548
