Migrant remittance inflows (US$ million),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,% of GDP in 2022
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,1984.050244,1872.783886,1580.952511,1500.016857,1495.729519,1738.096326,2053.201662,2037.731948,2148.940834,2686.5,2717.663874,2127.033059,1822.304847,1958.2302,1845.715377,1957.98747,2107.139725,1801.111958,1845.995097,2016.872695,2262.876954,2332.570551,1910.737573,2374.467959,2400,10.13470715
Botswana,81.26996868,78.94906071,86.83596203,64.54608297,63.39756962,55.33497984,43.25857175,40.9259616,36.25588043,26.36020353,18.54087011,17.90769966,19.0733971,27.30931376,78.65639314,117.7445058,103.8590066,92.19151815,46.82319634,15.20902919,22.3,20.40987829,18.10314392,36.00433594,46.12311908,30.04561957,24.62250168,38.95656147,44.3098974,59.36010414,35.61590837,57.62918397,55.61216254,0.308870661
Brazil,537,1067,1737,1161,1893,2952,2059,1586.402308,1269.915,1501.221,1349.591,1448.914,2003.791,2286.68,2812.514,2805.358,3287.162,3305.694,3642.585,2889.1595,3082.8,3214.602243,2784.072055,2717.675069,2647.908513,2896.909952,2739.786527,2698.770651,2933.489276,3213.621677,3566.219438,4102.018148,5045,0.266267942
Bulgaria,0,0,0,0,0,0,41.5,50.6,50.67583324,42.52801977,58.23545135,826.2003096,1176.951497,1718.485429,1722.769585,1612.912427,1716.435981,1693.553171,1918.650334,1591.794628,1332.9,1483.19,1448.88,1666.96,1684.74,1494.74,1665.57,2193.59,2408.23,2342.37,954.92,786.06,850,0.999905891
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.6648196,67.99628178,84.43617413,99.7421432,96.37387586,120.4621891,221.1,209.9807444,308.4695202,396.3080407,384.9856164,397.3738925,416.8392431,455.6500922,467.2518417,524.6081048,560.55,588.5775,3.221904423
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041783995,0.1,0.011470972,0.189948941,3.645216677,28.23214776,34.49892951,45.46317687,46.43364909,48.6394739,56.26259143,51.04108726,31.27605824,33.72535865,48.32863178,0,0,48,49.8930224,1.353581725
Cabo Verde,59.14038478,62.36653052,76.01299174,76.49136233,85.45364255,105.8608605,100.3497133,76.41655636,73.74155705,79.71558375,89.76116615,80.95417113,85.02168169,108.4449356,113.4278326,136.6925986,136.5732084,138.7936763,155.0359908,135.620281,130.9098745,176.8750196,177,175.9183354,196.9818646,200.9035178,211.3738292,216.552202,234.507467,241.3142839,245.8003631,312.105153,374.5261836,18.24287304
Cambodia,0,0,9,9.5,11.3,11.6,11.6,11.7,72.2,82.4,102.6,112.8,123,128.2,147.4,163.7,183.7,185.8,187.918,142.2135,557.4,610.6497302,855.0431369,1003.326431,1103.123112,1185.470633,1199.209466,1287.315707,1431.304827,1524.617295,1272.266571,1153.438269,1250,4.412283798
Cameroon,22.9923232,7.337643763,25.01021936,20.34167089,11.4012004,11.23914192,13.40996464,13.56418612,22.61252627,15.409928,22.15505952,16.84631193,29.59551471,75.5840568,103.5749304,77.01916722,130.0587046,167.5602802,162.6703885,185.1120932,114.9710179,219.5422848,210.4077296,244.128552,283.3375659,241.70699,269,316.8006714,333.5544984,355.5506458,334.0972885,350.1989757,364.9073327,0.825358121
Chile,0.4,0,0,0,0,0,0,0,0,0,13.3,11.9,12.4,0,0,0,0,0,0,51.93805368,62.32492311,70.9173819,72.03004074,71.10814491,60.61270642,58.99221584,64.55111266,66.54175359,69.85684979,69.37277136,70.92672144,76.09407426,77.56865,0.024952439
China,124,207,228,108,395,350,1672,4589,344,530,758.082,1209,2353.070422,4625.33181,6641.220179,23625.89932,27565.19376,38395.03999,47742.80539,41600.37492,52459.64588,61576.22192,57986.59842,59491.28719,62332.34231,63937.64659,60999.99949,63875.67411,67413.59206,68398.47511,59506.67335,53000,51000,0.251772143
Colombia,495,881,640.5,467.7,968.350455,815.1176394,753.0362988,773.5190905,805.92507,1312.052329,1610.1,2056.358873,2479.942596,3076.018647,3189.709844,3345.610321,3899.159914,4460.194477,4826.851232,4124.862554,4030.846326,4101.315891,4018.674668,4449.83168,4165.731073,5001.596492,5191.956875,5818.773635,6675.079294,7115.322399,6924.526136,8608.268971,9133,2.663311161
Comoros,9.935265381,10.09554905,15.99987561,16.02979628,15.23299222,12.21293808,0,0,0,0,0,0,0,32.04244836,48.70500216,54.05572553,63.19751258,74.04548676,101.3254401,100.4075326,87.25208692,108.173891,110.203511,0,159.8174503,131.8660033,116.7455297,131.5983323,172.6202096,168.5468158,227.3403685,243.33,249.65658,20.10117391
"Congo, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,12.8,8.8,14.7,19.5,15.7,1127.5,855.8531746,1001.358241,756.4103876,1166.568218,593.4802748,1076.294915,1822.706176,2076.317928,1109.067595,1330.881114,1663.601393,2.603078428
Costa Rica,12,13.4,14.2,16,17.1,123.3,130.77,130.1,128.1,126.4827182,136,198.4434131,250.6464864,320.879535,319.5463521,420.34641,513.1562909,617.9200875,604.768805,513.0918733,530.688786,520.2196733,562.342745,596.399211,593.9253844,551.9885076,545.4237731,560.3666191,533.5096631,553.3779771,524.7867478,594.1256017,653.5381618,0.954223542
Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.2387575,166.9098831,184.9368245,199.7214022,316.346324,373.8419592,397.1,367.086167,384.7786362,387.2143023,336.3820619,342.4350611,307.6451279,332.04673,328.2904121,329.1476362,348,360.18,0.524814221
Croatia,0,0,0,230.029,375.509,544.168,649.9168984,593.9834616,601.2065108,528.8656902,1008.1,1132.777498,1331.304585,1565.790162,1873.603654,1874.468832,1926.149214,2228.813116,2505.307645,2268.827435,2287.050682,2524.036566,2084.70026,2768.842045,2774.820386,2676.949982,3223.409432,3662.771437,4014.006757,4280.379502,4203.433921,5044.681501,3700.89209,5.334234779
Cyprus,78.58890707,65.67211099,81.19255928,79.41212244,81.26926336,48.62736372,49.32327925,47.67489226,48.2788043,49.72854202,44.98648759,77.85033349,20.66079783,31.81379374,77.39164426,104.8171813,104.511095,142.1760082,948.6,593.4131536,861.7349436,740.5104578,601.1168746,430.9993626,323.088099,297.8481964,391.5740358,464.4577988,521.1920466,535.1823981,533.7906913,665.5810768,527.3398438,1.974685803
